AREA,EIC,EICSUM,EICSOU,EICMAT,EICSUB,POLLUTANT,SEASON,CONTROL_TYPE,2010
CALAVERAS, 220-208-0500-0000,"220-DEGREASING","208-HANDWIPING","0500-PETROLEUM NAPHTHA","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 220-208-3022-0000,"220-DEGREASING","208-HANDWIPING","3022-ALCOHOLS (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 220-208-3204-0000,"220-DEGREASING","208-HANDWIPING","3204-KETONES (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 220-208-3246-0000,"220-DEGREASING","208-HANDWIPING","3246-METHYLENE CHLORIDE (DICHLOROMETHANE)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 220-208-3344-0000,"220-DEGREASING","208-HANDWIPING","3344-1_1_1_-TRICHLOROETHANE (TCA)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 220-208-8104-0000,"220-DEGREASING","208-HANDWIPING","8104-DEGREASING SOLVENTS - PURE (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 220-208-8106-0000,"220-DEGREASING","208-HANDWIPING","8106-DEGREASING SOLVENTS - BLENDS (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 230-218-9000-0000,"230-COATINGS AND RELATED PROCESS SOLVENTS","218-AUTO REFINISHING","9000-COATINGS (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 250-292-8202-0000,"250-ADHESIVES AND SEALANTS","292-ADHESIVES AND SEALANTS","8202-ORGANIC SOLVENT BASED ADHESIVES AND SEALANTS (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 250-292-8250-0000,"250-ADHESIVES AND SEALANTS","292-ADHESIVES AND SEALANTS","8250-WATER BASED ADHESIVES AND SEALANTS (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 330-374-1100-0000,"330-PETROLEUM MARKETING","374-FUEL DISPENSING TANKS - WORKING LOSSES","1100-GASOLINE (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 330-376-1100-0000,"330-PETROLEUM MARKETING","376-FUEL DISPENSING TANKS - BREATHING LOSSES","1100-GASOLINE (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 330-378-1100-0000,"330-PETROLEUM MARKETING","378-VEHICLE REFUELING - VAPOR DISPLACEMENT LOSSES","1100-GASOLINE (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 330-380-1100-0000,"330-PETROLEUM MARKETING","380-VEHICLE REFUELING - SPILLAGE","1100-GASOLINE (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 330-381-1100-0000,"330-PETROLEUM MARKETING","381-VEHICLE REFUELING - HOSE PERMEATION","1100-GASOLINE (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 330-382-1100-0000,"330-PETROLEUM MARKETING","382-BULK PLANTS/TERMINALS - GASOLINE STORAGE - BREATHING LOSSES","1100-GASOLINE (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 330-384-1100-0000,"330-PETROLEUM MARKETING","384-BULK PLANTS/TERMINALS - GASOLINE STORAGE - WORKING LOSSES","1100-GASOLINE (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 330-390-1100-0000,"330-PETROLEUM MARKETING","390-TANK CARS AND TRUCKS - WORKING LOSSES","1100-GASOLINE (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 330-395-1100-0000,"330-PETROLEUM MARKETING","395-CARGO TANKS - PRESSURE RELATED FUGITIVE LOSSES","1100-GASOLINE (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 330-396-1100-0000,"330-PETROLEUM MARKETING","396-CARGO TANKS - VAPOR HOSE FUGITIVE LOSSES","1100-GASOLINE (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 330-397-1100-0000,"330-PETROLEUM MARKETING","397-CARGO TANKS - PRODUCT HOSE FUGITIVE LOSSES","1100-GASOLINE (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 399-995-0000-0000,"399-OTHER (PETROLEUM PRODUCTION AND MARKETING)","995-OTHER","0000-MATERIAL NOT SPECIFIED","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 420-408-6090-0000,"420-FOOD AND AGRICULTURE","408-WINE FERMENTATION","6090-WINE","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 420-410-6090-0000,"420-FOOD AND AGRICULTURE","410-WINE AGING","6090-WINE","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 430-422-7078-0000,"430-MINERAL PROCESSES","422-SAND AND GRAVEL EXCAVATION AND PROCESSING","7078-SAND/AGGREGATE","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0042
CALAVERAS, 430-424-7006-0000,"430-MINERAL PROCESSES","424-ASPHALTIC CONCRETE PRODUCTION","7006-ASPHALTIC CONCRETE","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0034
CALAVERAS, 430-995-7000-0000,"430-MINERAL PROCESSES","995-OTHER","7000-MINERAL AND METAL PRODUCTS (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0019
CALAVERAS, 430-995-7092-0000,"430-MINERAL PROCESSES","995-OTHER","7092-STONES","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,.0027
CALAVERAS, 510-500-9000-0000,"510-CONSUMER PRODUCTS","500-AEROSOL COATINGS","9000-COATINGS (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-500-9020-0000,"510-CONSUMER PRODUCTS","500-AEROSOL COATINGS","9020-PRIMERS (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-500-9021-0000,"510-CONSUMER PRODUCTS","500-AEROSOL COATINGS","9021-AUTO BODY PRIMERS","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-500-9051-0000,"510-CONSUMER PRODUCTS","500-AEROSOL COATINGS","9051-CLEAR COATINGS (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-500-9059-0000,"510-CONSUMER PRODUCTS","500-AEROSOL COATINGS","9059-FLAT COATINGS (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-500-9060-0000,"510-CONSUMER PRODUCTS","500-AEROSOL COATINGS","9060-NONFLAT COATINGS (UNSPECIFIED)","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-500-9071-0000,"510-CONSUMER PRODUCTS","500-AEROSOL COATINGS","9071-HIGH TEMPERATURE COATINGS","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-500-9073-0000,"510-CONSUMER PRODUCTS","500-AEROSOL COATINGS","9073-METALLIC PIGMENTED COATINGS","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-500-9077-0000,"510-CONSUMER PRODUCTS","500-AEROSOL COATINGS","9077-GROUND/TRAFFIC/MARKING COATINGS","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-500-9080-0000,"510-CONSUMER PRODUCTS","500-AEROSOL COATINGS","9080-FLUORESCENT COATINGS","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-500-9081-0000,"510-CONSUMER PRODUCTS","500-AEROSOL COATINGS","9081-ART FIXATIVES AND SEALANTS","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-500-9082-0000,"510-CONSUMER PRODUCTS","500-AEROSOL COATINGS","9082-AUTO BUMPER AND TRIM COATINGS","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-500-9083-0000,"510-CONSUMER PRODUCTS","500-AEROSOL COATINGS","9083-EXACT MATCH ENGINE ENAMEL","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-500-9084-0000,"510-CONSUMER PRODUCTS","500-AEROSOL COATINGS","9084-EXACT MATCH AUTOMOTIVE COATINGS","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-500-9085-0000,"510-CONSUMER PRODUCTS","500-AEROSOL COATINGS","9085-VINYL/FABRIC/LEATHER/POLYCARB COATINGS","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6505-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6505-CONSTRUCTION AND PANEL ADHESIVES                            ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6507-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6507-GENERAL PURPOSE ADHESIVE                                    ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6508-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6508-AEROSOL ADHESIVE (INCLUDING INDUSTRIAL)                     ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6509-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6509-PIPE CEMENTS AND PRIMERS                                    ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6512-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6512-CONTACT ADHESIVE - GENERAL PURPOSE","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6513-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6513-CONTACT ADHESIVE - SPECIAL PURPOSE","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6514-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6514-OTHER ADHESIVES","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6515-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6515-ADESIVE REMOVERS - FLOOR AND WALL COVERING","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6516-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6516-ADHESIVE REMOVERS - GASKET OR THREAD LOCKING","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6517-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6517-ADHESIVE REMOVERS - GENERAL PURPOSE","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6518-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6518-ADHESIVE REMOVERS - SPECIALTY","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6519-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6519-OTHER SEALANTS AND CHULKS","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6520-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6520-SEALANTS & CAULKING COMPOUNDS                               ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6522-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6522-INSULATING AND SEALING FOAM","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6530-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6530-BUG AND TAR REMOVERS                                        ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6533-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6533-AUTOMOTIVE HARD PASTE WAXES                                 ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6534-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6534-AUTOMOTIVE INSTANT DETAILERS                                ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6535-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6535-AUTOMOTIVE WAXES/POLISHES/SEALANTS/GLAZES                   ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6536-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6536-RUBBER AND VINYL PROTECTANTS - AEROSOLS                     ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6537-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6537-RUBBER AND VINYL PROTECTANTS - NON-AEROSOLS                 ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6538-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6538-AUTOMOTIVE RUBBING OR POLISHING COMPOUNDS                   ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6539-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6539-TIRE AND WHEEL CLEANERS                                     ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6551-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6551-AUTOMOTIVE BRAKE CLEANERS                                   ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6552-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6552-CARBURETOR OR FUEL-INJECTION AIR INTAKE CLEANERS            ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6553-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6553-ENGINE DEGREASERS - AEROSOLS                                ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6554-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6554-ENGINE DEGREASERS - NON-AEROSOLS                            ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6557-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6557-TIRE SEALANTS AND INFLATORS                                 ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6558-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6558-AUTOMOTIVE UNDERCOATINGS - AEROSOLS                         ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6559-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6559-AUTOMOTIVE UNDERCOATINGS - NON-AEROSOLS                     ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6560-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6560-AUTOMOTIVE WINDSHIELD WASHER FLUIDS - NON TYPE A            ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6562-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6562-AUTOMOTIVE WINDSHIELD WASHER FLUID -TYPE A AREAS","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6564-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6564-MOTOR VEHICLE WASH","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6565-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6565-WINDSHIELD WASHER REPELLENT","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6571-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6571-PAINT REMOVERS OR STRIPPERS                                 ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6572-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6572-GRAFFITI REMOVER - AEROSOL","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6573-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6573-GRAFFITI REMOVER - NON-AEROSOL","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6580-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6580-MULTI-PURPOSE SOLVENTS  AND  PAINT THINNERS                 ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6583-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6583-ELECTRICAL CLEANER","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6584-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6584-ELECTRONIC CLEANER","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6585-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6585-ENERGIZED ELECTRICAL CLEANER","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6588-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6588-ODOR REMOVER/ELIMINATOR","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6590-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6590-DISINFECTANTS                                               ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6591-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6591-SANITIZERS                                                  ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
CALAVERAS, 510-506-6600-0000,"510-CONSUMER PRODUCTS","506-CONSUMER PRODUCTS","6600-NON-SELECTIVE HERBICIDES/DEFOLIANTS                         ","0000-SUB-CATEGORY UNSPECIFIED",PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
