AREA,EIC,EICSUM,EICSOU,EICMAT,EICSUB,POLLUTANT,SEASON,CONTROL_TYPE,2010
SANTA CLARA , 050-020-0110-0000,050-MANUFACTURING AND INDUSTRIAL,020-SPACE HEATING,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0084
SANTA CLARA , 050-020-1220-0000,050-MANUFACTURING AND INDUSTRIAL,020-SPACE HEATING,1220-DISTILLATE OIL (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 050-040-0110-0000,050-MANUFACTURING AND INDUSTRIAL,040-I.C. RECIPROCATING ENGINES,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 050-040-0122-0000,050-MANUFACTURING AND INDUSTRIAL,040-I.C. RECIPROCATING ENGINES,0122-BUTANE,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 050-040-0124-0000,050-MANUFACTURING AND INDUSTRIAL,040-I.C. RECIPROCATING ENGINES,0124-PROPANE,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 050-040-0142-0000,050-MANUFACTURING AND INDUSTRIAL,040-I.C. RECIPROCATING ENGINES,0142-LANDFILL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0162
SANTA CLARA , 050-040-1200-0000,050-MANUFACTURING AND INDUSTRIAL,040-I.C. RECIPROCATING ENGINES,1200-DIESEL/DISTILLATE OIL (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0048
SANTA CLARA , 050-070-0110-0000,050-MANUFACTURING AND INDUSTRIAL,070-IN-PROCESS FUEL,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0006
SANTA CLARA , 050-070-0120-0000,050-MANUFACTURING AND INDUSTRIAL,070-IN-PROCESS FUEL,0120-LIQUIFIED PETROLEUM GAS (LPG),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 050-070-0130-0000,050-MANUFACTURING AND INDUSTRIAL,070-IN-PROCESS FUEL,0130-PROCESS GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 050-070-0220-0000,050-MANUFACTURING AND INDUSTRIAL,070-IN-PROCESS FUEL,0220-COKE,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 050-070-0240-0000,050-MANUFACTURING AND INDUSTRIAL,070-IN-PROCESS FUEL,0240-SOLID WASTE (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0003
SANTA CLARA , 050-995-0110-0000,050-MANUFACTURING AND INDUSTRIAL,995-OTHER,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.108
SANTA CLARA , 050-995-1220-0000,050-MANUFACTURING AND INDUSTRIAL,995-OTHER,1220-DISTILLATE OIL (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 052-005-0110-0000,052-FOOD AND AGRICULTURAL PROCESSING,005-BOILERS,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0001
SANTA CLARA , 052-005-0254-0000,052-FOOD AND AGRICULTURAL PROCESSING,005-BOILERS,0254-WOOD/BARK WASTE,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 052-010-0110-0000,052-FOOD AND AGRICULTURAL PROCESSING,010-PROCESS HEATERS,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0068
SANTA CLARA , 052-042-1200-0010,052-FOOD AND AGRICULTURAL PROCESSING,042-AG. IRRIGATION I.C. ENGINES,1200-DIESEL/DISTILLATE OIL (UNSPECIFIED),0010-STATIONARY,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0014
SANTA CLARA , 052-042-1200-0011,052-FOOD AND AGRICULTURAL PROCESSING,042-AG. IRRIGATION I.C. ENGINES,1200-DIESEL/DISTILLATE OIL (UNSPECIFIED),0011-PORTABLE,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0005
SANTA CLARA , 052-070-0240-0000,052-FOOD AND AGRICULTURAL PROCESSING,070-IN-PROCESS FUEL,0240-SOLID WASTE (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 052-995-0110-0000,052-FOOD AND AGRICULTURAL PROCESSING,995-OTHER,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 060-005-0110-0000,060-SERVICE AND COMMERCIAL,005-BOILERS,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0009
SANTA CLARA , 060-020-0110-0000,060-SERVICE AND COMMERCIAL,020-SPACE HEATING,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0043
SANTA CLARA , 060-020-1220-0000,060-SERVICE AND COMMERCIAL,020-SPACE HEATING,1220-DISTILLATE OIL (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 060-040-0110-0000,060-SERVICE AND COMMERCIAL,040-I.C. RECIPROCATING ENGINES,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0003
SANTA CLARA , 060-040-0122-0000,060-SERVICE AND COMMERCIAL,040-I.C. RECIPROCATING ENGINES,0122-BUTANE,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 060-040-0124-0000,060-SERVICE AND COMMERCIAL,040-I.C. RECIPROCATING ENGINES,0124-PROPANE,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 060-040-0142-0000,060-SERVICE AND COMMERCIAL,040-I.C. RECIPROCATING ENGINES,0142-LANDFILL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0185
SANTA CLARA , 060-040-0146-0000,060-SERVICE AND COMMERCIAL,040-I.C. RECIPROCATING ENGINES,0146-DIGESTER GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0028
SANTA CLARA , 060-040-1100-0000,060-SERVICE AND COMMERCIAL,040-I.C. RECIPROCATING ENGINES,1100-GASOLINE (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 060-040-1200-0000,060-SERVICE AND COMMERCIAL,040-I.C. RECIPROCATING ENGINES,1200-DIESEL/DISTILLATE OIL (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0026
SANTA CLARA , 060-040-1412-0000,060-SERVICE AND COMMERCIAL,040-I.C. RECIPROCATING ENGINES,1412-KERONAPTHA JET FUEL,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 060-045-0110-0000,060-SERVICE AND COMMERCIAL,045-I.C. TURBINE ENGINES,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0001
SANTA CLARA , 060-045-1420-0000,060-SERVICE AND COMMERCIAL,045-I.C. TURBINE ENGINES,1420-JET NAPHTHA  (JP-4),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 060-070-0240-0000,060-SERVICE AND COMMERCIAL,070-IN-PROCESS FUEL,0240-SOLID WASTE (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 060-995-0110-0000,060-SERVICE AND COMMERCIAL,995-OTHER,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.1035
SANTA CLARA , 060-995-0120-0000,060-SERVICE AND COMMERCIAL,995-OTHER,0120-LIQUIFIED PETROLEUM GAS (LPG),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 060-995-1220-0000,060-SERVICE AND COMMERCIAL,995-OTHER,1220-DISTILLATE OIL (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 099-010-0110-0000,099-OTHER (FUEL COMBUSTION),010-PROCESS HEATERS,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 099-040-1200-0000,099-OTHER (FUEL COMBUSTION),040-I.C. RECIPROCATING ENGINES,1200-DIESEL/DISTILLATE OIL (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.00981302
SANTA CLARA , 099-080-0012-0000,099-OTHER (FUEL COMBUSTION),080-RESOURCE RECOVERY,0012-FUEL (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0002
SANTA CLARA , 099-995-0000-0000,099-OTHER (FUEL COMBUSTION),995-OTHER,0000-MATERIAL NOT SPECIFIED,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 110-110-0300-0000,110-SEWAGE TREATMENT,110-SEWAGE TREATMENT PLANTS,0300-LIQUID WASTE (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 110-130-0264-0000,110-SEWAGE TREATMENT,130-INCINERATION,0264-SEWAGE SLUDGE,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 110-132-0130-0000,110-SEWAGE TREATMENT,132-FLARES,0130-PROCESS GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 110-995-0110-0000,110-SEWAGE TREATMENT,995-OTHER,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 120-122-0240-0000,120-LANDFILLS,122-CLASS II AND III LANDFILLS,0240-SOLID WASTE (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 120-122-0242-0000,120-LANDFILLS,122-CLASS II AND III LANDFILLS,0242-MUNICIPAL SOLID WASTE (MSW),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 130-130-0110-0000,130-INCINERATORS,130-INCINERATION,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0006
SANTA CLARA , 130-130-0240-0000,130-INCINERATORS,130-INCINERATION,0240-SOLID WASTE (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 130-132-0110-0000,130-INCINERATORS,132-FLARES,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 130-132-0130-0000,130-INCINERATORS,132-FLARES,0130-PROCESS GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0194
SANTA CLARA , 130-995-0110-0000,130-INCINERATORS,995-OTHER,0110-NATURAL GAS,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0001
SANTA CLARA , 130-995-0120-0000,130-INCINERATORS,995-OTHER,0120-LIQUIFIED PETROLEUM GAS (LPG),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 130-995-0266-0000,130-INCINERATORS,995-OTHER,0266-PATHOLOGICAL WASTE,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 140-995-0010-0000,140-SOIL REMEDIATION,995-OTHER,0010-HYDROCARBON COMPOUNDS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 140-995-0240-0000,140-SOIL REMEDIATION,995-OTHER,0240-SOLID WASTE (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0042
SANTA CLARA , 140-995-0300-0000,140-SOIL REMEDIATION,995-OTHER,0300-LIQUID WASTE (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 199-170-0240-0000,199-OTHER (WASTE DISPOSAL),170-COMPOSTING,0240-SOLID WASTE (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 199-170-0260-0000,199-OTHER (WASTE DISPOSAL),170-COMPOSTING,0260-BIOLOGICAL WASTE (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 199-995-0260-0000,199-OTHER (WASTE DISPOSAL),995-OTHER,0260-BIOLOGICAL WASTE (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 199-995-0300-0000,199-OTHER (WASTE DISPOSAL),995-OTHER,0300-LIQUID WASTE (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0001
SANTA CLARA , 199-995-3000-0000,199-OTHER (WASTE DISPOSAL),995-OTHER,3000-ORGANIC CHEMICALS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 210-200-3300-0000,210-LAUNDERING,200-DRY CLEANING,3300-PERCHLOROETHYLENE,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 210-200-8100-0000,210-LAUNDERING,200-DRY CLEANING,8100-DEGREASING SOLVENTS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 210-200-8150-0000,210-LAUNDERING,200-DRY CLEANING,8150-NON-SYNTHETIC (PETROLEUM BASED) DEGREASING SOLVENTS (UNSPEC),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 220-204-0500-0000,220-DEGREASING,204-COLD CLEANING (BATCH - CONVEYOR - SPRAY GUN),0500-PETROLEUM NAPHTHA,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 220-204-3008-0000,220-DEGREASING,204-COLD CLEANING (BATCH - CONVEYOR - SPRAY GUN),3008-ACETONE,0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 220-204-3022-0000,220-DEGREASING,204-COLD CLEANING (BATCH - CONVEYOR - SPRAY GUN),3022-ALCOHOLS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 220-204-3176-0000,220-DEGREASING,204-COLD CLEANING (BATCH - CONVEYOR - SPRAY GUN),3176-GLYCOL ETHERS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 220-204-3204-0000,220-DEGREASING,204-COLD CLEANING (BATCH - CONVEYOR - SPRAY GUN),3204-KETONES (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 220-204-3220-0000,220-DEGREASING,204-COLD CLEANING (BATCH - CONVEYOR - SPRAY GUN),3220-METHANOL (METHYL ALCOHOL),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 220-204-3232-0000,220-DEGREASING,204-COLD CLEANING (BATCH - CONVEYOR - SPRAY GUN),3232-METHYL ETHYL KETONE (MEK),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 220-204-3246-0000,220-DEGREASING,204-COLD CLEANING (BATCH - CONVEYOR - SPRAY GUN),3246-METHYLENE CHLORIDE (DICHLOROMETHANE),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 220-204-8106-0000,220-DEGREASING,204-COLD CLEANING (BATCH - CONVEYOR - SPRAY GUN),8106-DEGREASING SOLVENTS - BLENDS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 220-206-8106-0000,220-DEGREASING,206-VAPOR DEGREASING (BATCH - CONVEYOR),8106-DEGREASING SOLVENTS - BLENDS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 220-208-8106-0000,220-DEGREASING,208-HANDWIPING,8106-DEGREASING SOLVENTS - BLENDS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 230-218-8000-0000,230-COATINGS AND RELATED PROCESS SOLVENTS,218-AUTO REFINISHING,8000-SOLVENTS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0.0001
SANTA CLARA , 230-218-9000-0000,230-COATINGS AND RELATED PROCESS SOLVENTS,218-AUTO REFINISHING,9000-COATINGS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 230-218-9020-0000,230-COATINGS AND RELATED PROCESS SOLVENTS,218-AUTO REFINISHING,9020-PRIMERS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 230-218-9040-0000,230-COATINGS AND RELATED PROCESS SOLVENTS,218-AUTO REFINISHING,9040-VARNISHES/SHELLACS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 230-218-9052-0000,230-COATINGS AND RELATED PROCESS SOLVENTS,218-AUTO REFINISHING,9052-ENAMEL TOPCOATS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 230-218-9054-0000,230-COATINGS AND RELATED PROCESS SOLVENTS,218-AUTO REFINISHING,9054-LACQUER TOPCOATS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 230-218-9100-0000,230-COATINGS AND RELATED PROCESS SOLVENTS,218-AUTO REFINISHING,9100-OIL BASED (ORGANIC SOLVENT BASED) COATINGS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 230-222-9000-0000,230-COATINGS AND RELATED PROCESS SOLVENTS,222-PAPER COATINGS,9000-COATINGS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 230-222-9020-0000,230-COATINGS AND RELATED PROCESS SOLVENTS,222-PAPER COATINGS,9020-PRIMERS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 230-222-9100-0000,230-COATINGS AND RELATED PROCESS SOLVENTS,222-PAPER COATINGS,9100-OIL BASED (ORGANIC SOLVENT BASED) COATINGS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
SANTA CLARA , 230-226-9000-0000,230-COATINGS AND RELATED PROCESS SOLVENTS,226-METAL FURNITURE AND FIXTURE COATINGS,9000-COATINGS (UNSPECIFIED),0000-SUB-CATEGORY UNSPECIFIED,PM2_5,ANNUAL AVERAGE,GROWN AND CONTROLLED,0
